ind,CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Is_UK
0,12346.0,325,2,0,0.0,0.0,1,0.0,1,10,1
1,12347.0,2,7,2458,4310.0,615.7142857142857,103,2.016574585635359,1,14,0
2,12348.0,75,4,2332,1437.24,359.31,21,10.884615384615385,3,19,0
3,12349.0,18,1,630,1457.55,1457.55,72,0.0,0,9,0
4,12350.0,310,1,196,294.4,294.4,16,0.0,2,16,0
5,12352.0,36,8,463,1265.41,158.17625,57,3.1325301204819276,1,14,0
6,12353.0,204,1,20,89.0,89.0,4,0.0,3,17,0
7,12354.0,232,1,530,1079.4,1079.4,58,0.0,3,13,0
8,12355.0,214,1,240,459.4,459.4,13,0.0,0,13,0
9,12356.0,22,3,1573,2487.43,829.1433333333333,52,5.315789473684211,1,9,0
10,12357.0,33,1,2708,6207.67,6207.67,131,0.0,6,16,0
11,12358.0,1,2,242,928.0600000000001,464.03000000000003,12,9.3125,1,10,0
12,12359.0,7,6,1599,6182.9800000000005,1030.4966666666667,214,1.296,3,12,0
13,12360.0,52,3,1156,2302.06,767.3533333333334,104,1.184,1,15,0
14,12361.0,287,1,90,174.9,174.9,9,0.0,4,13,0
15,12362.0,3,13,2180,4665.58,358.89076923076925,200,1.1102661596958174,3,15,0
16,12363.0,109,2,408,552.0,276.0,23,6.045454545454546,0,13,0
17,12364.0,7,4,1499,1208.1,302.025,69,1.3125,4,15,0
18,12365.0,291,1,173,320.69,320.69,21,0.0,0,13,0
19,12367.0,4,1,172,150.9,150.9,10,0.0,0,16,0
20,12370.0,51,4,2349,3421.94,855.485,142,1.8841463414634145,1,12,0
21,12371.0,59,1,582,1527.96,1527.96,62,0.0,1,10,0
22,12372.0,71,3,788,1196.04,398.68,33,4.6875,2,12,0
23,12373.0,311,1,196,324.6,324.6,13,0.0,1,13,0
24,12374.0,25,1,339,622.93,622.93,32,0.0,0,15,0
25,12375.0,2,3,175,375.42,125.14,13,6.4,4,14,0
26,12377.0,315,2,942,1548.12,774.06,71,0.52,0,9,0
27,12378.0,129,1,2529,4008.62,4008.62,219,0.0,1,10,0
28,12379.0,81,3,401,775.29,258.43,38,2.3421052631578947,0,10,0
29,12380.0,21,5,1109,2423.56,484.712,76,1.64,4,11,0
30,12381.0,4,4,772,1433.46,358.365,69,1.3529411764705883,4,9,0
31,12383.0,184,6,1515,1617.31,269.5516666666667,83,1.7872340425531914,2,14,0
32,12384.0,28,3,117,406.16,135.38666666666668,25,3.4444444444444446,2,11,0
33,12386.0,337,2,354,401.9,200.95,10,3.2222222222222223,2,9,0
34,12388.0,15,6,1462,2780.66,463.4433333333333,57,3.1414141414141414,3,11,0
35,12390.0,79,1,350,504.84000000000003,504.84000000000003,31,0.0,2,9,0
36,12391.0,21,1,293,439.66,439.66,92,0.0,4,12,0
37,12393.0,72,4,816,1582.6000000000001,395.65000000000003,47,4.126984126984127,2,9,0
38,12394.0,63,2,808,1080.48,540.24,25,6.416666666666667,4,14,0
39,12395.0,15,15,2092,2662.28,177.48533333333336,90,2.4383561643835616,4,16,0
40,12397.0,35,2,1250,2214.9,1107.45,109,0.8130081300813008,2,14,0
41,12398.0,45,1,1389,1435.66,1435.66,84,0.0,1,10,0
42,12399.0,119,4,1173,1033.65,258.4125,46,2.6296296296296298,1,10,0
43,12401.0,303,1,10,69.3,69.3,4,0.0,2,13,0
44,12402.0,323,1,92,195.6,195.6,10,0.0,3,13,0
45,12403.0,49,1,94,391.7,391.7,4,0.0,4,10,0
46,12405.0,148,1,849,1390.39,1390.39,53,0.0,3,8,0
47,12406.0,22,3,1809,3280.75,1093.5833333333333,92,1.5046728971962617,3,19,0
48,12407.0,49,5,1403,1507.1200000000001,301.42400000000004,56,3.028169014084507,2,9,0
49,12408.0,32,8,1382,2587.57,323.44625,80,2.130841121495327,4,10,0
50,12409.0,78,7,5543,11056.93,1579.5614285714287,91,0.9203539823008849,4,12,0
51,12410.0,301,3,205,521.08,173.69333333333336,25,0.2692307692307692,4,10,0
52,12412.0,74,3,824,1142.88,380.96000000000004,42,1.6666666666666667,0,13,0
53,12413.0,66,4,281,676.15,169.0375,28,7.527777777777778,3,16,0
54,12414.0,217,3,297,442.41,147.47,15,6.642857142857143,2,14,0
55,12415.0,24,24,76946,123638.18,5151.590833333333,443,0.4049159120310479,1,10,0
56,12417.0,3,12,1514,3155.8,262.98333333333335,157,1.8829787234042554,3,14,0
57,12418.0,112,1,407,668.58,668.58,34,0.0,4,11,0
58,12420.0,63,1,345,600.39,600.39,29,0.0,4,8,0
59,12421.0,15,4,478,639.04,159.76,31,7.6,6,13,0
60,12422.0,95,3,367,683.5600000000001,227.85333333333335,38,6.1891891891891895,4,9,0
61,12423.0,0,9,1312,1624.11,180.45666666666665,96,3.017094017094017,0,10,0
62,12424.0,162,2,740,1760.96,880.48,30,0.0,3,12,0
63,12425.0,78,1,496,777.2,777.2,36,0.0,3,17,0
64,12426.0,194,1,254,510.73,510.73,29,0.0,6,12,0
65,12427.0,11,5,229,582.37,116.474,25,11.612903225806452,0,15,0
